"연번","업소명","지번"
"185"," 잔치국수 2000"," 서울특별시 강남구 삼성동 143번지 37호 현대타워 지하1층 106호"
"186"," 아모제푸드(주) 스칼렛 테헤란로점"," 서울특별시 강남구 대치동 891번지 0호 지하1층"
"187"," (주)보나비아티제선릉대치타워점"," 서울특별시 강남구 대치동 891번지 삼성생명 대치타워 1층"
"188"," 목석화수분식"," 서울특별시 강남구 대치동 891번지 6호"
"189"," 원빵스넥"," 서울특별시 강남구 삼성동 143번지 42호"
"190"," 레아"," 서울특별시 강남구 대치동 891번지 10호 지하1층"
"191"," 수릿골"," 서울특별시 강남구 삼성동 144번지 22호"
"192"," 필테스트"," 서울특별시 강남구 삼성동 144번지 23호 지하1층"
"193"," 자바씨티포스코점"," 서울특별시 강남구 대치동 892번지 0호 포스코센타지하1층"
"194"," 리나스포스코점"," 서울특별시 강남구 대치동 892번지 0호 포스코센터동관지하1층"
"195"," 포타이포스코점"," 서울특별시 강남구 대치동 892번지 0호 포스코센터지하1층"
"196"," 삼락"," 서울특별시 강남구 대치동 892번지 0호"
"197"," 본디마을"," 서울특별시 강남구 대치동 892번지 0호"
"198"," 버거킹 포스코점"," 서울특별시 강남구 대치동 892번지 0호"
"199"," 겐지"," 서울특별시 강남구 대치동 892번지 0호"
"200"," 휘닉스"," 서울특별시 강남구 대치동 892번지 0호"
"201"," 명동칼국수"," 서울특별시 강남구 대치동 892번지"
"202"," 제이제이브로스"," 서울특별시 강남구 대치동 892번지 0호 지하1층"
"203"," 요리명가"," 서울특별시 강남구 삼성동 144번지 25호 . 26"
"204"," 커피프린스"," 서울특별시 강남구 역삼동 706번지 26호 지상1층"
"205"," 원가"," 서울특별시 강남구 역삼동 706번지 13호 지상1층"
"206"," 스미즈"," 서울특별시 강남구 역삼동 720번지 19호 지상2층"
"207"," 더문"," 서울특별시 강남구 역삼동 706번지 15호 성보빌딩 지하1층"
"208"," 아르누보씨티스카이라운지"," 서울특별시 강남구 역삼동 701번지 1호 지상18층"
"209"," 진다함"," 서울특별시 강남구 역삼동 701번지 0호 상록회관 지하1층"
"210"," 주식회사 가붕"," 서울특별시 강남구 역삼동 701번지 0호 상록회관지하1층"
"211"," 자스"," 서울특별시 강남구 역삼동 701번지 0호 지하1층"
"212"," 김밥카페"," 서울특별시 강남구 역삼동 701번지 0호 지하1층"
"213"," 푸주옥"," 서울특별시 강남구 역삼동 701번지"
"214"," 상록회관 웨딩홀"," 서울특별시 강남구 역삼동 701번지"
"215"," 경주천년한우"," 서울특별시 강남구 역삼동 701번지 0호"
"216"," 카페드아마폴라선릉점"," 서울특별시 강남구 역삼동 700번지 6호 지상1층"
"217"," 해화참치"," 서울특별시 강남구 역삼동 700번지 3호 지상2층"
"218"," 파크 에비뉴"," 서울특별시 강남구 역삼동 700번지 3호 지하1층"
"219"," 모로모로"," 서울특별시 강남구 역삼동 700번지 2호"
"220"," 또봉이 통닭"," 서울특별시 강남구 역삼동 700번지 2호 지상1층"
"221"," 대학로김가네김밥"," 서울특별시 강남구 역삼동 700번지 1호 지상1층"
"222"," 기장산곰장어"," 서울특별시 강남구 역삼동 700번지 1호 지상1층"
"223"," 기장산곰장어"," 서울특별시 강남구 역삼동 700번지 1호 지상1층"
"224"," 별양집"," 서울특별시 강남구 역삼동 700번지"
"225"," 역삼버드나무집"," 서울특별시 강남구 역삼동 689번지 12호 지상1,2,3층"
"226"," 레드"," 서울특별시 강남구 역삼동 662번지 16호 지상1층"
"227"," 치킨뱅이"," 서울특별시 강남구 역삼동 689번지 7호"
"228"," 장꼬방"," 서울특별시 강남구 역삼동 689번지 6호 1층"
"229"," 황금정"," 서울특별시 강남구 역삼동 662번지 11호 .14"
